Title,Year,Rating,Runtime,Critic.Score,Box.Office,Awards,International
The Whole Nine Yards,2000,R,98,45,57.3,FALSE,FALSE
Cirque du Soleil: Journey of Man,2000,G,39,45,13.4,TRUE,FALSE
Gladiator,2000,R,155,76,187.3,TRUE,TRUE
Dinosaur,2000,PG,82,65,135.6,TRUE,FALSE
Big Momma's House,2000,PG-13,99,30,0.5,TRUE,TRUE
Gone in Sixty Seconds,2000,PG-13,118,24,101,TRUE,FALSE
Shaft,2000,R,99,68,70.3,TRUE,TRUE
Chicken Run,2000,G,84,97,106.6,TRUE,TRUE
"Me, Myself & Irene",2000,R,116,48,0.6,TRUE,FALSE
The Patriot,2000,R,165,62,2.3,TRUE,TRUE
The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4,TRUE,TRUE
The Kid,2000,PG,104,49,68.5,TRUE,FALSE
X-Men,2000,PG-13,104,82,156.2,TRUE,FALSE
What Lies Beneath,2000,PG-13,130,46,155,TRUE,FALSE
Thomas and the Magic Railroad,2000,G,85,19,2,FALSE,TRUE
Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4,TRUE,FALSE
Coyote Ugly,2000,PG-13,100,22,59.8,TRUE,FALSE
Hollow Man,2000,R,112,27,72.1,TRUE,TRUE
Space Cowboys,2000,PG-13,130,78,89.4,TRUE,TRUE
The Replacements,2000,PG-13,118,40,44,FALSE,FALSE
Bless the Child,2000,R,107,3,28.1,TRUE,TRUE
The Cell,2000,R,107,45,60,TRUE,TRUE
The Original Kings of Comedy,2000,R,115,86,37.7,TRUE,FALSE
The Art of War,2000,R,117,16,29.5,TRUE,TRUE
The Crew,2000,PG-13,88,20,12.5,TRUE,FALSE
Bring It On,2000,PG-13,98,63,67.9,TRUE,FALSE
The Tao of Steve,2000,R,87,80,2.6,TRUE,FALSE
Whipped,2000,R,82,13,3.8,FALSE,FALSE
Turn It Up,2000,R,86,8,0.7,FALSE,FALSE
Backstage,2000,R,86,31,0.7,FALSE,FALSE
The Watcher,2000,R,97,10,28.6,FALSE,FALSE
Nurse Betty,2000,R,110,84,25,TRUE,TRUE
The Way of the Gun,2000,R,119,48,5.2,FALSE,FALSE
Bait,2000,R,119,26,14.9,FALSE,TRUE
Duets,2000,R,112,20,4.3,FALSE,FALSE
Almost Famous,2000,R,122,88,31.7,TRUE,FALSE
Urban Legends: Final Cut,2000,R,97,9,21,TRUE,TRUE
Woman on Top,2000,R,92,34,4.5,FALSE,FALSE
Beautiful,2000,PG-13,112,16,2.8,FALSE,FALSE
Remember the Titans,2000,PG,113,73,114.3,TRUE,FALSE
Girlfight,2000,R,110,87,0.8,TRUE,FALSE
Dancer in the Dark,2000,R,140,68,2.8,TRUE,TRUE
Digimon: The Movie,2000,PG,82,25,9,FALSE,TRUE
Get Carter,2000,R,102,12,14.6,FALSE,FALSE
Meet the Parents,2000,PG-13,108,84,164.5,TRUE,FALSE
Lost Souls,2000,R,97,7,16.4,FALSE,FALSE
Dr. T and the Women,2000,R,122,57,12.1,FALSE,TRUE
The Contender,2000,R,126,76,16.1,TRUE,TRUE
The Ladies Man,2000,R,84,11,13.4,FALSE,FALSE
Bamboozled,2000,R,135,48,1.9,TRUE,FALSE
Bedazzled,2000,PG-13,93,49,37,TRUE,TRUE
Best in Show,2000,PG-13,90,95,16.6,TRUE,FALSE
Pay It Forward,2000,PG-13,123,40,32.8,TRUE,FALSE
The Little Vampire,2000,PG,95,55,13.4,TRUE,TRUE
Lucky Numbers,2000,R,105,22,9.5,TRUE,TRUE
Charlie's Angels,2000,PG-13,98,67,124.4,TRUE,TRUE
The Legend of Bagger Vance,2000,PG-13,126,43,30.4,TRUE,FALSE
Red Planet,2000,PG-13,106,14,17.1,FALSE,TRUE
Men of Honor,2000,R,129,41,46.2,FALSE,FALSE
Little Nicky,2000,PG-13,90,22,38.5,FALSE,FALSE
How the Grinch Stole Christmas,2000,PG,104,53,259,TRUE,TRUE
The 6th Day,2000,PG-13,123,41,33.8,FALSE,FALSE
102 Dalmatians,2000,G,100,31,65.4,TRUE,TRUE
What's Cooking?,2000,PG-13,109,52,0.7,TRUE,TRUE
Vertical Limit,2000,PG-13,124,48,67.8,TRUE,TRUE
Dungeons & Dragons,2000,PG-13,107,10,14.8,FALSE,TRUE
Proof of Life,2000,R,135,40,31.2,FALSE,FALSE
The Emperor's New Groove,2000,G,78,85,87.3,TRUE,FALSE
What Women Want,2000,PG-13,127,54,181.5,TRUE,FALSE
Requiem for a Dream,2000,R,102,78,2.5,TRUE,FALSE
"Dude, Where's My Car?",2000,PG-13,83,18,45,FALSE,FALSE
Miss Congeniality,2000,PG-13,109,42,105.5,TRUE,TRUE
The Family Man,2000,PG-13,125,53,73.7,TRUE,FALSE
You Can Count on Me,2000,R,111,95,8.4,TRUE,FALSE
Quills,2000,R,124,75,4.3,TRUE,TRUE
All the Pretty Horses,2000,PG-13,116,32,14.7,TRUE,FALSE
Traffic,2000,R,147,92,123.8,TRUE,TRUE
State and Main,2000,R,105,86,5.8,TRUE,TRUE
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,97,127.7,TRUE,TRUE
Finding Forrester,2000,PG-13,136,74,51.4,TRUE,FALSE
Thirteen Days,2000,PG-13,145,83,33.1,TRUE,FALSE
The Gift,2000,R,111,57,11.2,FALSE,FALSE
Chocolat,2000,PG-13,121,63,71.3,TRUE,TRUE
Snatch.,2000,R,102,73,30.1,TRUE,TRUE
Shadow of the Vampire,2000,R,92,81,7.5,TRUE,TRUE
"O Brother, Where Art Thou?",2000,PG-13,106,77,45.2,TRUE,TRUE
Before Night Falls,2000,R,133,73,2.8,TRUE,FALSE
An Everlasting Piece,2000,R,103,48,0.0091,FALSE,FALSE
Pollock,2000,R,122,81,7.3,TRUE,FALSE
Memento,2000,R,113,92,23.8,TRUE,FALSE
The Golden Bowl,2000,R,130,54,2.2,TRUE,TRUE
Songcatcher,2000,PG-13,109,74,1.6,TRUE,FALSE
The Endurance,2000,G,97,95,2.1,TRUE,TRUE
Tadpole,2000,PG-13,78,78,2.9,TRUE,FALSE
The Debut,2000,R,88,74,1.5,TRUE,FALSE
Double Take,2001,PG-13,88,12,28.5,FALSE,FALSE
Antitrust,2001,PG-13,109,24,11,TRUE,FALSE
The Pledge,2001,R,124,78,18.9,TRUE,FALSE
"Scotland, Pa.",2001,R,104,59,0.2,FALSE,FALSE
Sugar & Spice,2001,PG-13,81,28,12.4,FALSE,FALSE
Head Over Heels,2001,PG-13,86,10,9.9,FALSE,FALSE
Valentine,2001,R,96,8,19.8,TRUE,FALSE
Hannibal,2001,R,131,39,163.9,TRUE,TRUE
Saving Silverman,2001,PG-13,90,18,19,FALSE,TRUE
Recess: School's Out,2001,G,82,61,34.8,FALSE,FALSE
Down to Earth,2001,PG-13,87,20,63.1,FALSE,TRUE
Sweet November,2001,PG-13,119,16,24.4,FALSE,FALSE
Haunted Castle,2001,PG,38,25,12.4,FALSE,TRUE
Monkeybone,2001,PG-13,93,20,4.9,FALSE,FALSE
3000 Miles to Graceland,2001,R,125,14,15.3,FALSE,FALSE
Carman: The Champion,2001,PG-13,82,11,1.3,FALSE,FALSE
See Spot Run,2001,PG,94,23,32.5,FALSE,TRUE
The Mexican,2001,R,123,56,66.6,TRUE,FALSE
Get Over It,2001,PG-13,87,44,11.3,FALSE,FALSE
15 Minutes,2001,R,120,33,24.2,FALSE,TRUE
Bartleby,2001,PG-13,83,35,0.0603,FALSE,FALSE
Never Again,2001,R,98,31,0.2,FALSE,FALSE
Enemy at the Gates,2001,R,131,54,50.5,FALSE,TRUE
Exit Wounds,2001,R,101,32,51.4,FALSE,TRUE
Say It Isn't So,2001,R,95,9,4.8,FALSE,FALSE
Heartbreakers,2001,PG-13,123,53,39.9,FALSE,FALSE
The Brothers,2001,R,106,63,26.6,TRUE,FALSE
Spy Kids,2001,PG,88,93,110.8,TRUE,FALSE
Someone Like You...,2001,PG-13,97,43,26.7,FALSE,FALSE
Blow,2001,R,124,55,52.8,TRUE,FALSE
Along Came a Spider,2001,R,104,32,73.6,TRUE,TRUE
Joe Dirt,2001,PG-13,91,11,27.1,FALSE,FALSE
Josie and the Pussycats,2001,PG-13,98,53,14.1,FALSE,TRUE
Kingdom Come,2001,PG,94,28,22.6,FALSE,FALSE
Crocodile Dundee in Los Angeles,2001,PG,92,11,25.3,FALSE,TRUE
Freddy Got Fingered,2001,R,87,11,13.7,TRUE,FALSE
The Forsaken,2001,R,90,7,6.3,FALSE,FALSE
Driven,2001,PG-13,116,14,32.4,TRUE,TRUE
Town & Country,2001,R,104,13,6.3,TRUE,FALSE
One Night at McCool's,2001,R,93,33,5.7,FALSE,FALSE
The Mummy Returns,2001,PG-13,130,47,200.7,TRUE,FALSE
The Tailor of Panama,2001,R,109,77,13.1,FALSE,TRUE
